#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 0.0005431 7.17698e-06
0.1 0.2 0.0005811 5.11361e-06
0.2 0.3 0.0006141 5.38786e-06
0.3 0.4 0.000654 7.12601e-06
0.4 0.5 0.000734 6.7897e-06
0.5 0.6 0.0008239 7.50793e-06
0.6 0.7 0.0009555 8.88623e-06
0.7 0.8 0.0011749 1.05588e-05
0.80 0.81 0.001386 3.73952e-05
0.81 0.82 0.001441 3.67001e-05
0.82 0.83 0.001537 3.45558e-05
0.83 0.84 0.001561 2.40187e-05
0.84 0.85 0.001731 4.11449e-05
0.85 0.86 0.00187 6.03987e-05
0.86 0.87 0.001843 3.72035e-05
0.87 0.88 0.002039 4.00112e-05
0.88 0.89 0.002214 4.58301e-05
0.89 0.9 0.002499 4.65715e-05
0.901 0.902 0.00564 0.000231603
0.903 0.904 0.00536 0.000205037
0.905 0.906 0.00549 0.000209022
0.907 0.908 0.00558 0.000198897
0.909 0.91 0.0061 0.000146969
0.911 0.912 0.00594 0.000205037
0.913 0.914 0.00639 0.000238097
0.915 0.916 0.00639 0.000178017
0.917 0.918 0.00659 0.000260941
0.919 0.92 0.00649 0.000224254
0.921 0.922 0.00662 0.000234009
0.923 0.924 0.007 0.000290861
0.925 0.926 0.00655 0.000228583
0.927 0.928 0.00681 0.000346251
0.929 0.93 0.00676 0.000197585
0.931 0.932 0.00676 0.0001498
0.933 0.934 0.0074 0.000199499
0.935 0.936 0.00638 0.000144776
0.937 0.938 0.00673 0.000262317
0.939 0.94 0.00675 0.000263913
0.941 0.942 0.00699 0.000251177
0.943 0.944 0.00682 0.000228386
0.945 0.946 0.00654 0.000195551
0.947 0.948 0.00632 0.000346352
0.949 0.95 0.00598 8.22192e-05
0.951 0.952 0.00591 0.00024554
0.953 0.954 0.00578 0.000375979
0.955 0.956 0.00525 0.000153134
0.957 0.958 0.00456 0.000236728
0.959 0.96 0.00443 0.000188175
0.961 0.962 0.0041 0.000143527
0.963 0.964 0.00346 0.000204059
0.965 0.966 0.00301 0.000127632
0.967 0.968 0.00252 0.000156716
0.969 0.97 0.00244 0.000124258
0.971 0.972 0.00216 9.07744e-05
0.973 0.974 0.00177 0.000112294
0.975 0.976 0.00154 9.61249e-05
0.977 0.978 0.00092 6.44981e-05
0.979 0.98 0.00079 8.76926e-05
0.981 0.982 0.00049 0.00010144
0.983 0.984 0.00048 5.79655e-05
0.985 0.986 0.00021 3.86005e-05
0.987 0.988 0.00025 5.87367e-05
0.989 0.99 7e-05 2.02485e-05
0.991 0.992 0.0001 2.82843e-05
0.993 0.994 5e-05 2.54951e-05
0.995 0.996 5e-05 1.58114e-05
0.999 1 1e-05 9.48683e-06
