#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 0.0005632 5.0056e-06
0.1 0.2 0.0005784 7.81946e-06
0.2 0.3 0.0006423 4.34293e-06
0.3 0.4 0.0006863 4.76666e-06
0.4 0.5 0.0007628 6.83052e-06
0.5 0.6 0.0008603 1.31279e-05
0.6 0.7 0.000995 6.91665e-06
0.7 0.8 0.0012577 9.89247e-06
0.80 0.81 0.001445 2.86793e-05
0.81 0.82 0.00155 4.2332e-05
0.82 0.83 0.001621 3.94829e-05
0.83 0.84 0.001724 5.96356e-05
0.84 0.85 0.001898 3.6216e-05
0.85 0.86 0.001944 5.19076e-05
0.86 0.87 0.002185 3.64486e-05
0.87 0.88 0.002359 5.02882e-05
0.88 0.89 0.00269 4.98598e-05
0.89 0.9 0.003269 4.44848e-05
0.900 0.901 0.00368 0.000198897
0.901 0.902 0.00369 0.000222014
0.902 0.903 0.0039 0.000145602
0.903 0.904 0.00385 0.000194551
0.904 0.905 0.00389 0.000222463
0.905 0.906 0.00421 0.000205158
0.906 0.907 0.00388 0.000175955
0.907 0.908 0.0037 0.000165529
0.908 0.909 0.00437 0.000272415
0.909 0.91 0.00447 0.000142864
0.910 0.911 0.00427 0.000158146
0.911 0.912 0.00444 0.000156971
0.912 0.913 0.0045 0.000251396
0.913 0.914 0.00455 0.000175071
0.914 0.915 0.00499 0.000198721
0.915 0.916 0.00465 0.000215523
0.916 0.917 0.00495 0.000191442
0.917 0.918 0.00447 0.000170323
0.918 0.919 0.00498 0.000195346
0.919 0.92 0.00485 0.000177341
0.920 0.921 0.00458 0.000204353
0.921 0.922 0.00442 0.000182099
0.922 0.923 0.00482 0.000172511
0.923 0.924 0.00436 0.000192977
0.924 0.925 0.00435 0.000247891
0.925 0.926 0.00408 0.000142688
0.926 0.927 0.00394 0.000223249
0.927 0.928 0.00406 0.000209857
0.928 0.929 0.00369 0.000121202
0.929 0.93 0.00407 0.000142864
0.930 0.931 0.00356 0.000201594
0.931 0.932 0.0031 0.000158114
0.932 0.933 0.0027 0.000134907
0.933 0.934 0.0028 0.000111355
0.934 0.935 0.00251 0.000142443
0.935 0.936 0.00248 0.000146151
0.936 0.937 0.00217 0.000157512
0.937 0.938 0.00168 9.35949e-05
0.938 0.939 0.0016 0.000114018
0.939 0.94 0.00138 0.000157987
0.940 0.941 0.00115 0.000151822
0.941 0.942 0.00096 8.02496e-05
0.942 0.943 0.00081 6.99285e-05
0.943 0.944 0.00051 4.78539e-05
0.944 0.945 0.00073 0.000105877
0.945 0.946 0.00049 7.93095e-05
0.946 0.947 0.00029 4.78539e-05
0.947 0.948 0.00029 4.78539e-05
0.948 0.949 0.00016 4.04969e-05
0.949 0.95 0.00014 2.89828e-05
0.950 0.951 0.00016 4.04969e-05
0.951 0.952 8e-05 1.89737e-05
0.952 0.953 5e-05 2.12132e-05
0.953 0.954 2e-05 1.26491e-05
0.954 0.955 3e-05 2.02485e-05
0.955 0.956 1e-05 9.48683e-06
0.956 0.957 2e-05 1.26491e-05
0.957 0.958 1e-05 9.48683e-06
