#n_data 100000
#phi_bin_left phi_bin_right probability stderr
0.0 0.1 3.8e-05 1.46969e-06
0.1 0.2 0.0001297 2.70943e-06
0.2 0.3 0.0002487 5.05579e-06
0.3 0.4 0.0003673 4.4901e-06
0.4 0.5 0.0005299 7.0816e-06
0.5 0.6 0.0007315 7.45419e-06
0.6 0.7 0.0009719 1.10738e-05
0.7 0.8 0.0014016 9.02352e-06
0.80 0.81 0.00178 3.68239e-05
0.81 0.82 0.0023 3.1273e-05
0.82 0.83 0.001994 3.7502e-05
0.83 0.84 0.002124 4.28999e-05
0.84 0.85 0.002284 3.90692e-05
0.85 0.86 0.002567 5.69394e-05
0.86 0.87 0.002619 5.76099e-05
0.87 0.88 0.002294 4.83363e-05
0.88 0.89 0.003174 4.96024e-05
0.89 0.9 0.003447 3.67437e-05
0.900 0.901 0.00745 0.000282223
0.902 0.903 0.00766 0.000393243
0.904 0.905 0.00784 0.000348195
0.906 0.907 0.00861 0.000295449
0.908 0.909 0.00819 0.000342476
0.910 0.911 0.00892 0.000401945
0.912 0.913 0.00885 0.00035107
0.914 0.915 0.00916 0.000318182
0.916 0.917 0.0095 0.000278568
0.918 0.919 0.00928 0.000295905
0.920 0.921 0.00988 0.000122311
0.922 0.923 0.00997 0.000299683
0.924 0.925 0.0097 0.000373631
0.926 0.927 0.00959 0.000290327
0.928 0.929 0.01062 0.000283478
0.930 0.931 0.0106 0.00020347
0.932 0.933 0.01027 0.000339426
0.934 0.935 0.01036 0.00028886
0.936 0.937 0.01101 0.000231279
0.938 0.939 0.01034 0.000329302
0.940 0.941 0.00982 0.000346352
0.942 0.943 0.01052 0.00040045
0.944 0.945 0.00889 0.000237255
0.946 0.947 0.00924 0.000364472
0.948 0.949 0.00966 0.000405759
0.950 0.951 0.00863 0.000291908
0.952 0.953 0.00848 0.000204353
0.954 0.955 0.00749 0.000245947
0.956 0.957 0.00713 0.000287071
0.958 0.959 0.00672 0.000285937
0.960 0.961 0.00643 0.000281087
0.962 0.963 0.00485 0.00016386
0.964 0.965 0.00468 0.00025012
0.966 0.967 0.00455 0.000196087
0.968 0.969 0.0039 0.000197484
0.970 0.971 0.00337 0.000197509
0.972 0.973 0.00246 0.000107889
0.974 0.975 0.00196 0.000192458
0.976 0.977 0.00168 0.00014128
0.978 0.979 0.00125 8.63134e-05
0.980 0.981 0.00094 8.02496e-05
0.982 0.983 0.00065 4.94975e-05
0.984 0.985 0.00046 6.3561e-05
0.986 0.987 0.0004 6.63325e-05
0.988 0.989 0.00013 2.84605e-05
0.990 0.991 0.00016 3.79473e-05
0.992 0.993 1e-05 9.48683e-06
0.994 0.995 3e-05 1.44914e-05
0.998 0.999 2e-05 1.26491e-05
